,TOT_REG_CD,ADM_NM,ADM_CD,211009_9시_총생활인구수,211009_13시_총생활인구수,211009_15시_총생활인구수,211012_9시_총생활인구수,211012_13시_총생활인구수,211012_15시_총생활인구수
112,1117052020503 ,구로1동,1117052,325.1383,169.2462,169.2462,194.5501,161.2584,136.951
113,1117052020702 ,구로1동,1117052,201.9246,86.9743,86.9743,214.5663,145.6457,128.6139
114,1117052020703 ,구로1동,1117052,,,,4.4812,,
115,1117052020701 ,구로1동,1117052,48.6208,11.0101,11.0101,54.8259,29.9346,24.6496
116,1117052020801 ,구로1동,1117052,70.4438,27.3619,27.3619,85.2436,48.9746,40.4752
117,1117054010003 ,구로3동,1117054,6.159,12.007,12.007,40.0449,52.0089,50.5681
118,1117054010002 ,구로3동,1117054,3724.4386,5359.8314,5359.8314,15155.7937,17291.5357,16364.2056
119,1117054010001 ,구로3동,1117054,719.4159,828.9693,828.9693,773.7767,823.3939,800.2386
120,1117054010102 ,구로3동,1117054,541.3468,338.8359,338.8359,461.967,393.7415,337.0986
121,1117054010104 ,구로3동,1117054,193.3556,142.2932,142.2932,144.0934,114.2003,119.3231
122,1117054010101 ,구로3동,1117054,218.2812,145.3478,145.3478,146.7787,122.4543,123.4437
123,1117054010103 ,구로3동,1117054,210.5189,111.2827,111.2827,130.7165,104.0014,108.2476
124,1117054010201 ,구로3동,1117054,266.6718,347.4332,347.4332,236.1724,256.56,324.8598
125,1117054010202 ,구로3동,1117054,208.7539,176.7922,176.7922,153.0858,134.5126,129.8703
126,1117054010401 ,구로3동,1117054,206.5945,142.1278,142.1278,192.7327,157.9879,151.3073
127,1117054010505 ,구로3동,1117054,217.696,73.2787,73.2787,144.0658,104.6349,115.4496
128,1117054010504 ,구로3동,1117054,176.7332,59.0487,59.0487,140.6987,104.2251,99.8468
129,1117054010507 ,구로3동,1117054,204.687,77.7947,77.7947,170.1462,125.7235,120.2092
130,1117054010506 ,구로3동,1117054,241.7703,104.8107,104.8107,205.0767,151.2158,144.5403
131,1117054010501 ,구로3동,1117054,181.3632,48.2227,48.2227,174.5937,128.5828,125.2341
132,1117054010503 ,구로3동,1117054,467.0345,148.1065,148.1065,321.4494,218.5093,208.0351
133,1117054010502 ,구로3동,1117054,184.303,70.754,70.754,109.6463,89.1573,93.9464
134,1117054010601 ,구로3동,1117054,188.7638,105.5992,105.5992,172.5053,133.7496,127.6879
135,1117054010701 ,구로3동,1117054,263.1827,68.8841,68.8841,131.268,74.0747,79.9763
136,1117054010703 ,구로3동,1117054,261.2645,54.1976,54.1976,149.1552,95.349,97.0193
137,1117054010702 ,구로3동,1117054,234.1936,61.104,61.104,185.874,153.3389,147.3794
138,1117054020006 ,구로3동,1117054,1887.1083,2989.173,2989.173,10991.4593,12702.6063,12305.4663
139,1117054020005 ,구로3동,1117054,495.075,808.0789,808.0789,526.5823,566.9294,538.5332
140,1117054020002 ,구로3동,1117054,115.7396,38.9501,38.9501,185.6095,131.0834,132.3906
141,1117054020003 ,구로3동,1117054,402.0737,443.1142,443.1142,358.7544,346.4442,356.2001
142,1117054020001 ,구로3동,1117054,1108.5168,850.025,850.025,836.4831,728.9349,756.7955
143,1117054020104 ,구로3동,1117054,104.2529,33.2119,33.2119,56.7662,39.9861,37.768
144,1117054020105 ,구로3동,1117054,42.6919,21.6336,21.6336,26.7062,19.6223,20.3065
145,1117054020103 ,구로3동,1117054,275.1883,85.6218,85.6218,146.6791,102.4385,113.2841
146,1117054020101 ,구로3동,1117054,221.4164,111.8727,111.8727,142.5376,107.5842,111.247
147,1117054020902 ,구로3동,1117054,159.7064,68.2282,68.2282,151.8494,102.0377,101.617
148,1117054020903 ,구로3동,1117054,187.616,42.3224,42.3224,187.2309,125.204,122.022
149,1117054020901 ,구로3동,1117054,229.1262,92.1773,92.1773,139.5989,95.2853,97.9596
150,1117054030003 ,구로3동,1117054,290.9408,160.3444,160.3444,255.122,179.0134,166.6827
151,1117054030002 ,구로3동,1117054,2515.6826,3660.1806,3660.1806,5567.8359,5562.837,5745.7244
152,1117054030001 ,구로3동,1117054,1004.4602,1356.0786,1356.0786,3668.6159,4050.9513,4022.2874
153,1117054040001 ,구로3동,1117054,320.6984,331.8263,331.8263,443.9804,563.748,581.0727
154,1117054040002 ,구로3동,1117054,383.7495,432.207,432.207,301.1674,240.0581,233.4964
155,1117054040003 ,구로3동,1117054,445.2565,155.0763,155.0763,227.5282,152.6975,149.3882
156,1117054040010 ,구로3동,1117054,502.5793,174.8549,174.8549,363.765,305.3648,284.7188
157,1117054040011 ,구로3동,1117054,60.8097,41.992,41.992,102.2443,136.1238,111.6007
158,1117054040008 ,구로3동,1117054,697.6026,757.5531,757.5531,1013.0322,1121.9696,1173.7456
159,1117054040009 ,구로3동,1117054,507.2869,499.7106,499.7106,625.0998,666.8731,644.8066
160,1117054040004 ,구로3동,1117054,2992.29,4472.6438,4472.6438,13882.0924,16104.8854,15705.3704
161,1117054040005 ,구로3동,1117054,575.3283,652.2336,652.2336,493.9143,389.2423,384.6291
162,1117054040006 ,구로3동,1117054,600.2538,702.9903,702.9903,1982.6265,2255.715,2066.4003
163,1117054040007 ,구로3동,1117054,439.0585,150.4354,150.4354,823.2242,727.2014,668.5703
164,1117054040301 ,구로3동,1117054,290.1337,143.0579,143.0579,199.5095,130.3477,126.467
165,1117055010001 ,구로4동,1117055,110.8632,74.5828,74.5828,86.7707,107.6303,116.6703
166,1117055010003 ,구로4동,1117055,668.0971,705.6586,705.6586,569.3855,684.9301,703.5791
167,1117055010002 ,구로4동,1117055,631.9067,586.8027,586.8027,477.7585,521.726,550.083
168,1117055010005 ,구로4동,1117055,503.468,579.1322,579.1322,433.0625,422.8885,457.475
169,1117055010004 ,구로4동,1117055,1124.3284,1087.9977,1087.9977,950.6862,975.0762,1095.5535
170,1117055010006 ,구로4동,1117055,1704.2599,2342.8572,2342.8572,2124.0571,2146.0458,1986.3856
171,1117055010201 ,구로4동,1117055,74.9816,8.7003,8.7003,40.4281,30.9445,31.5794
172,1117055010601 ,구로4동,1117055,46.7534,92.9178,92.9178,60.5426,57.6962,59.7864
173,1117055010603 ,구로4동,1117055,53.7572,70.3416,70.3416,53.3678,42.0686,36.6265
174,1117055010602 ,구로4동,1117055,270.7414,296.6922,296.6922,302.4814,248.0419,263.4843
175,1117055010701 ,구로4동,1117055,457.4655,168.9549,168.9549,262.8843,233.6166,243.295
176,1117055010801 ,구로4동,1117055,554.8403,169.9606,169.9606,255.2141,215.9102,196.935
177,1117055010901 ,구로4동,1117055,40.1056,70.118,70.118,43.1195,82.6521,93.3715
178,1117055011001 ,구로4동,1117055,46.6139,24.0076,24.0076,45.9508,38.3631,39.1695
179,1117055011002 ,구로4동,1117055,292.2708,224.3429,224.3429,357.7919,260.3406,287.891
